2026-03-08 00:41:22,984 | GoogleMapsScraper    | INFO     |   [125/200] Extracting: https://www.google.com/maps/place/Hap%27s+Hungry+House/data=!4m7!3m6!1s0x53a0210…
2026-03-08 00:41:31,137 | GoogleMapsScraper    | INFO     |   [126/200] Extracting: https://www.google.com/maps/place/Barb+%26+Ernie%27s+Old+Country+Inn/data=!4m7!3…
2026-03-08 00:41:40,174 | GoogleMapsScraper    | INFO     |   [127/200] Extracting: https://www.google.com/maps/place/Lunchbox+Diner/data=!4m7!3m6!1s0x53a0215e9a88b…
2026-03-08 00:41:55,772 | GoogleMapsScraper    | INFO     |   [128/200] Extracting: https://www.google.com/maps/place/Red+Goose+Restaurant/data=!4m7!3m6!1s0x53a018a…
2026-03-08 00:42:05,011 | GoogleMapsScraper    | INFO     |   [129/200] Extracting: https://www.google.com/maps/place/Denny%27s+Restaurant/data=!4m7!3m6!1s0x53a01f2…
2026-03-08 00:42:21,139 | GoogleMapsScraper    | INFO     |   [130/200] Extracting: https://www.google.com/maps/place/Denny%27s+Restaurant/data=!4m7!3m6!1s0x53a0223…
2026-03-08 00:42:28,115 | GoogleMapsScraper    | INFO     |   [131/200] Extracting: https://www.google.com/maps/place/Wayback+Burgers+Restaurant+%26+Bar/data=!4m7!3…
2026-03-08 00:42:38,955 | GoogleMapsScraper    | INFO     |   [132/200] Extracting: https://www.google.com/maps/place/Country+Cookin/data=!4m7!3m6!1s0x53a021152b91e…
2026-03-08 00:42:53,901 | GoogleMapsScraper    | INFO     |   [133/200] Extracting: https://www.google.com/maps/place/Rice+Bowl+Deluxe/data=!4m7!3m6!1s0x53a021bd086…
2026-03-08 00:43:06,138 | GoogleMapsScraper    | INFO     |   [134/200] Extracting: https://www.google.com/maps/place/Denny%27s+Restaurant/data=!4m7!3m6!1s0x53a0191…
2026-03-08 00:43:16,079 | GoogleMapsScraper    | INFO     |   [135/200] Extracting: https://www.google.com/maps/place/All+Happy+Family+Restaurant/data=!4m7!3m6!1s0x…
2026-03-08 00:43:41,036 | GoogleMapsScraper    | INFO     |   [136/200] Extracting: https://www.google.com/maps/place/Edmonton+Wholesale+Market/data=!4m7!3m6!1s0x53…
2026-03-08 00:43:48,730 | GoogleMapsScraper    | INFO     |   [137/200] Extracting: https://www.google.com/maps/place/Real+Canadian+Superstore+137+Avenue/data=!4m7!…
2026-03-08 00:44:17,085 | GoogleMapsScraper    | INFO     |   [138/200] Extracting: https://www.google.com/maps/place/T%26T+Supermarket+Edmonton+Store/data=!4m7!3m6…
2026-03-08 00:44:38,336 | GoogleMapsScraper    | INFO     |   [139/200] Extracting: https://www.google.com/maps/place/Freson+Bros.+Fresh+Market+Glenora/data=!4m7!3m…
2026-03-08 00:44:48,826 | GoogleMapsScraper    | INFO     |   [140/200] Extracting: https://www.google.com/maps/place/Empanada+Convenience+Store/data=!4m7!3m6!1s0x5…
